County,Carter_D,Ford_R,Other
Adair,40.3,57.5,2.2
Andrew,49.0,50.4,0.7
Atchison,49.0,49.9,1.1
Audrain,50.8,48.7,0.5
Barry,49.7,49.8,0.5
Barton,45.8,53.3,0.8
Bates,55.8,43.6,0.6
Benton,48.0,51.5,0.5
Bollinger,56.4,43.5,0.2
Boone,50.7,46.9,2.4
Buchanan,51.1,48.2,0.7
Butler,54.1,45.4,0.5
Caldwell,49.9,49.5,0.6
Callaway,48.1,50.8,1.0
Camden,46.7,52.5,0.8
Cape_Girardeau,45.1,54.4,0.5
Carroll,51.2,48.3,0.4
Carter,57.5,42.0,0.5
Cass,55.2,44.0,0.9
Cedar,44.1,55.4,0.4
Chariton,58.7,40.9,0.4
Christian,3830,4553,59
Clark,51.3,48.3,0.4
Clay,50.9,47.7,1.4
Clinton,54.6,44.8,0.7
Cole,35.3,63.9,0.8
Cooper,45.3,54.3,0.4
Crawford,52.2,47.2,0.6
Dade,45.3,54.3,0.4
Dallas,50.0,49.5,0.5
Daviess,53.7,45.8,0.5
DeKalb,53.5,46.0,0.4
Dent,54.3,45.0,0.7
Douglas,42.4,56.8,0.7
Dunklin,68.1,31.7,0.2
Franklin,48.0,50.3,1.7
Gasconade,30.0,69.1,1.0
Gentry,55.7,43.9,0.3
Greene,46.8,52.2,1.0
Grundy,49.3,50.2,0.6
Harrison,47.9,51.5,0.6
Henry,55.6,43.9,0.5
Hickory,49.5,49.7,0.7
Holt,46.1,53.6,0.4
Howard,61.6,37.6,0.8
Howell,52.5,46.8,0.8
Iron,59.7,39.8,0.5
Jackson,55.3,43.1,1.7
Jasper,46.4,53.1,0.5
Jefferson,57.3,41.6,1.1
Johnson,49.5,49.1,1.4
Knox,51.6,47.6,0.8
Laclede,51.7,48.0,0.3
Lafayette,48.2,51.3,0.5
Lawrence,47.7,51.9,0.3
Lewis,55.3,44.1,0.6
Lincoln,55.0,44.0,1.1
Linn,56.6,43.0,0.4
Livingston,55.7,43.9,0.4
McDonald,50.9,48.3,0.8
Macon,55.9,43.7,0.4
Madison,55.9,43.6,0.5
Maries,54.5,45.1,0.4
Marion,52.5,47.2,0.3
Mercer,53.3,46.4,0.2
Miller,39.9,59.6,0.5
Mississippi,65.8,33.9,0.3
Moniteau,44.3,55.4,0.3
Monroe,65.4,34.1,0.6
Montgomery,48.4,50.8,0.8
Morgan,48.9,50.6,0.5
New Madrid,65.4,34.4,0.2
Newton,49.3,49.9,0.8
Nodaway,51.1,47.8,1.1
Oregon,69.1,30.2,0.7
Osage,38.2,61.2,0.6
Ozark,43.2,56.5,0.3
Pemiscot,64.7,35.1,0.2
Perry,40.5,59.1,0.4
Pettis,51.6,48.0,0.4
Phelps,50.0,49.2,0.8
Pike,52.6,46.8,0.5
Platte,50.7,47.5,1.8
Polk,48.3,51.3,0.4
Pulaski,60.1,39.4,0.4
Putnam,43.0,56.6,0.4
Ralls,63.0,36.2,0.8
Randolph,61.6,37.9,0.5
Ray,65.4,33.7,0.9
Reynolds,70.7,29.0,0.3
Ripley,60.7,38.6,0.7
St. Charles,45.3,53.6,1.1
St. Clair,55.3,44.1,0.6
Ste. Genevieve,57.5,41.7,0.7
St. Francois,55.6,44.0,0.4
St. Louis,43.5,54.6,1.9
Saline,54.3,45.0,0.7
Schuyler,54.1,45.5,0.4
Scotland,52.7,46.7,0.6
Scott,59.5,40.3,0.2
Shannon,66.0,33.3,0.7
Shelby,60.2,39.2,0.6
Stoddard,60.3,39.5,0.2
Stone,40.4,59.2,0.5
Sullivan,51.6,47.7,0.7
Taney,43.5,56.3,0.3
Texas,57.8,41.6,0.5
Vernon,56.7,42.8,0.6
Warren,39.9,59.2,1.0
Washington,58.0,41.4,0.6
Wayne,60.2,39.6,0.2
Webster,51.4,48.0,0.6
Worth,55.4,44.1,0.5
Wright,44.9,54.9,0.2
St. Louis City,66.0,32.5,1.5
